input,output
🍎 + 🍎 + 🍎 = 12,🍎 = 4
🚗 + 🚗 + 🚗 + 🚗 = 20,🚗 = 5
🐶 + 🐶 = 8,🐶 = 4
🌟 + 🌟 + 🌟 = 15,🌟 = 5
🍌 + 🍌 + 🍌 + 🍌 + 🍌 = 25,🍌 = 5
🏀 + 🏀 = 6,🏀 = 3
🎸 + 🎸 + 🎸 = 18,🎸 = 6
🦄 + 🦄 + 🦄 + 🦄 = 16,🦄 = 4
🎩 + 🎩 + 🎩 + 🎩 + 🎩 = 35,🎩 = 7
🚀 + 🚀 = 10,🚀 = 5
📚 + 📚 + 📚 = 9,📚 = 3
🍉 + 🍉 = 14,🍉 = 7
⚽ + ⚽ + ⚽ + ⚽ = 40,⚽ = 10
🎯 + 🎯 = 20,🎯 = 10
🐱 + 🐱 + 🐱 + 🐱 = 28,🐱 = 7
🍕 + 🍕 + 🍕 = 21,🍕 = 7
🚲 + 🚲 = 16,🚲 = 8
🎻 + 🎻 + 🎻 + 🎻 + 🎻 = 50,🎻 = 10
🔑 + 🔑 = 14,🔑 = 7
🎁 + 🎁 + 🎁 = 30,🎁 = 10
🐻 + 🐻 + 🐻 + 🐻 = 32,🐻 = 8
🏡 + 🏡 = 22,🏡 = 11
💎 + 💎 + 💎 = 45,💎 = 15
🍪 + 🍪 = 18,🍪 = 9
🚦 + 🚦 + 🚦 + 🚦 = 48,🚦 = 12
🐸 + 🐸 = 26,🐸 = 13
🍄 + 🍄 + 🍄 = 27,🍄 = 9
🎃 + 🎃 + 🎃 + 🎃 = 36,🎃 = 9
🚁 + 🚁 + 🚁 = 33,🚁 = 11
🐥 + 🐥 + 🐥 + 🐥 = 40,🐥 = 10
🦋 + 🦋 = 14,🦋 = 7
🥑 + 🥑 + 🥑 = 24,🥑 = 8
🍇 + 🍇 = 22,🍇 = 11
🌍 + 🌍 + 🌍 = 75,🌍 = 25
🎼 + 🎼 = 30,🎼 = 15
🐌 + 🐌 + 🐌 + 🐌 + 🐌 = 50,🐌 = 10
🧩 + 🧩 = 12,🧩 = 6
🛴 + 🛴 + 🛴 = 21,🛴 = 7
📷 + 📷 = 16,📷 = 8
💡 + 💡 + 💡 + 💡 = 28,💡 = 7
🔔 + 🔔 = 18,🔔 = 9
🍏 + 🍏 + 🍏 = 27,🍏 = 9
🥕 + 🥕 = 20,🥕 = 10
🎀 + 🎀 + 🎀 + 🎀 = 44,🎀 = 11
🎮 + 🎮 = 36,🎮 = 18
🖊️ + 🖊️ + 🖊️ = 18,🖊️ = 6
🦊 + 🦊 + 🦊 + 🦊 = 72,🦊 = 18
🎵 + 🎵 = 16,🎵 = 8
📌 + 📌 + 📌 = 30,📌 = 10
